PLAYER,YEAR,PTS,AST,REB,STL,BLK
Antonio Davis,2000,13.7,1.4,10.1,0.3,1.9
Antonio McDyess,2000,20.8,2.1,12.0,0.6,1.5
Chris Webber,2000,27.1,4.2,11.1,1.3,1.7
Dikembe Mutombo,2000,10.0,1.0,13.5,0.4,2.7
Elton Brand,2000,20.1,3.2,10.1,1.0,1.6
Kevin Garnett,2000,22.0,5.0,11.399999999999999,1.4,1.8
Shaquille O'Neal,2000,28.7,3.7,12.700000000000001,0.6,2.8
Shawn Marion,2000,17.3,2.0,10.7,1.7,1.4
Tim Duncan,2000,22.2,3.0,12.2,0.9,2.3
Andre Miller,2001,16.5,10.9,4.6,1.6,0.4
Danny Fortson,2001,11.2,1.6,11.7,0.6,0.2
Dikembe Mutombo,2001,11.5,1.0,10.8,0.4,2.4
Dirk Nowitzki,2001,23.4,2.4,10.0,1.1,1.0
Elton Brand,2001,18.2,2.4,11.6,1.0,2.0
Jermaine O'Neal,2001,19.0,1.6,10.5,0.6,2.3
Kevin Garnett,2001,21.2,5.2,12.1,1.2,1.6
Shaquille O'Neal,2001,27.2,3.0,10.7,0.6,2.0
Tim Duncan,2001,25.5,3.7,12.7,0.7,2.5
Brian Grant,2002,10.3,1.3,10.2,0.8,0.6
Chris Webber,2002,23.0,5.4,10.5,1.6,1.3
Jermaine O'Neal,2002,20.8,2.0,10.3,0.9,2.3
Kevin Garnett,2002,23.0,6.0,13.5,1.4,1.6
Shaquille O'Neal,2002,27.5,3.1,11.1,0.6,2.4
Tim Duncan,2002,23.3,3.9,12.899999999999999,0.7,2.9
Troy Murphy,2002,11.7,1.3,10.2,0.8,0.4
Brad Miller,2003,14.1,4.3,10.4,0.9,1.2
Carlos Boozer,2003,15.5,2.0,11.5,1.0,0.7
Erick Dampier,2003,12.3,0.8,11.899999999999999,0.4,1.9
Jamaal Magloire,2003,13.6,1.0,10.399999999999999,0.5,1.2
Jermaine O'Neal,2003,20.1,2.1,10.0,0.8,2.6
Kenny Thomas,2003,13.6,1.5,10.1,1.1,0.4
Kevin Garnett,2003,24.2,5.0,13.9,1.5,2.2
Shaquille O'Neal,2003,21.5,2.9,11.5,0.5,2.5
Tim Duncan,2003,22.3,3.1,12.5,0.9,2.7
Zach Randolph,2003,20.1,2.0,10.5,0.8,0.5
Dwight Howard,2004,12.0,0.9,10.0,0.9,1.7
Emeka Okafor,2004,15.1,0.9,10.899999999999999,0.8,1.7
Kevin Garnett,2004,22.2,5.7,13.5,1.5,1.4
Kurt Thomas,2004,11.5,2.0,10.4,0.9,1.0
Shaquille O'Neal,2004,22.9,2.7,10.4,0.5,2.3
Shawn Marion,2004,19.4,1.9,11.3,2.0,1.5
Steve Nash,2004,15.5,11.5,3.4000000000000004,1.0,0.1
Troy Murphy,2004,15.4,1.4,10.8,0.8,0.5
Dwight Howard,2005,15.8,1.5,12.5,0.8,1.4
Elton Brand,2005,24.7,2.6,10.0,1.0,2.5
Kevin Garnett,2005,21.8,4.1,12.7,1.4,1.4
Shawn Marion,2005,21.8,1.8,11.9,2.0,1.7
Steve Nash,2005,18.8,10.5,4.2,0.8,0.2
Tim Duncan,2005,18.6,3.2,11.0,0.9,2.0
Troy Murphy,2005,14.0,1.4,10.0,0.6,0.4
Carlos Boozer,2006,20.9,3.0,11.7,0.9,0.3
Chris Bosh,2006,22.6,2.5,10.7,0.6,1.3
Dwight Howard,2006,17.6,1.9,12.3,0.9,1.9
Kevin Garnett,2006,22.4,4.1,12.8,1.2,1.7
Marcus Camby,2006,11.2,3.2,11.600000000000001,1.2,3.3
Steve Nash,2006,18.6,11.6,3.5,0.8,0.1
Tim Duncan,2006,20.0,3.4,10.600000000000001,0.8,2.4
Zach Randolph,2006,23.6,2.2,10.1,0.8,0.2
Al Jefferson,2007,21.0,1.4,11.2,0.9,1.5
Antawn Jamison,2007,21.4,1.5,10.2,1.3,0.4
Carlos Boozer,2007,21.1,2.9,10.4,1.2,0.5
Chris Paul,2007,21.1,11.6,4.0,2.7,0.1
Deron Williams,2007,18.8,10.5,2.9,1.1,0.3
Dwight Howard,2007,20.7,1.3,14.200000000000001,0.9,2.1
Emeka Okafor,2007,13.8,0.9,10.7,0.8,1.7
Jason Kidd,2007,10.8,10.1,7.5,1.7,0.3
Lamar Odom,2007,14.2,3.5,10.7,1.0,0.9
Samuel Dalembert,2007,10.5,0.5,10.3,0.5,2.3
Steve Nash,2007,16.9,11.1,3.4,0.7,0.1
Tim Duncan,2007,19.3,2.8,11.3,0.7,1.9
Tyson Chandler,2007,11.8,1.0,11.8,0.6,1.1
Chris Bosh,2008,22.7,2.5,10.0,0.9,1.0
Chris Paul,2008,22.8,11.0,5.6000000000000005,2.8,0.1
David Lee,2008,16.0,2.1,11.8,1.0,0.3
Dwight Howard,2008,20.6,1.4,13.899999999999999,1.0,2.9
Emeka Okafor,2008,13.2,0.6,10.1,0.6,1.7
Tim Duncan,2008,19.3,3.5,10.7,0.5,1.7
Troy Murphy,2008,14.3,2.4,11.8,0.8,0.5
Carlos Boozer,2009,19.5,3.2,11.2,1.1,0.5
Chris Bosh,2009,24.0,2.4,10.8,0.6,1.0
David Lee,2009,20.2,3.6,11.7,1.0,0.5
Deron Williams,2009,18.7,10.5,4.0,1.3,0.2
Dwight Howard,2009,18.3,1.8,13.2,0.9,2.8
Gerald Wallace,2009,18.2,2.1,10.1,1.5,1.1
Steve Nash,2009,16.5,11.0,3.3,0.5,0.1
Tim Duncan,2009,17.9,3.2,10.1,0.6,1.5
Troy Murphy,2009,14.6,2.1,10.200000000000001,1.0,0.5
Zach Randolph,2009,20.8,1.8,11.8,1.0,0.4
